index,category,product,price_usdt,brand_slug,filename
30,Dev & Productivity,N8N Starter 12 Month,18.40,n8n,30_N8N_Starter_12_Month.png
31,Dev & Productivity,Notion Business 12 Month,18.80,notion,31_Notion_Business_12_Month.png
32,Dev & Productivity,Linear Business 12 Month,8.96,linear,32_Linear_Business_12_Month.png
33,Dev & Productivity,Jam Team 10 Seats 12 Month,26.40,jamboard,33_Jam_Team_10_Seats_12_Month.png
34,Dev & Productivity,Gumloop Pro 12 Month,7.60,gumroad,34_Gumloop_Pro_12_Month.png
35,Dev & Productivity,Granola Business 12 Month,6.20,granola,35_Granola_Business_12_Month.png
36,Dev & Productivity,Granola Business 10 Seats 12 Month,12.00,granola,36_Granola_Business_10_Seats_12_Month.png
37,Dev & Productivity,PostHog Scale 12 Month,18.40,posthog,37_PostHog_Scale_12_Month.png
38,Dev & Productivity,Resend Pro 12 Month,28.00,resend,38_Resend_Pro_12_Month.png
39,Dev & Productivity,Warp Build 12 Month,7.12,warp,39_Warp_Build_12_Month.png
40,Dev & Productivity,Mobbin 10x Seat 12 Month,12.00,mobbin,40_Mobbin_10x_Seat_12_Month.png
41,Dev & Productivity,Coursera Premium 12 Month,6.40,coursera,41_Coursera_Premium_12_Month.png
42,Dev & Productivity,Coursera 1 Year,2.80,coursera,42_Coursera_1_Year.png
43,Dev & Productivity,Wispr Flow Pro 12 Month,25.60,wispr,43_Wispr_Flow_Pro_12_Month.png
44,Dev & Productivity,Supercut AI Pro 10 Seats 12 Month,27.20,supercut,44_Supercut_AI_Pro_10_Seats_12_Month.png
45,Dev & Productivity,Supercut Pro 10 Seat 12 Month,13.60,supercut,45_Supercut_Pro_10_Seat_12_Month.png
46,Design & Creative,Adobe CC 4 Month (5-Day Warranty),3.27,adobe,46_Adobe_CC_4_Month_5_Day_Warranty.png
47,Design & Creative,Adobe Express Premium 12M India Activation Link,1.24,adobe,47_Adobe_Express_Premium_12M_India_Activation_Link.png
48,Design & Creative,Canva Admin 3 Year (2-Week Warranty),11.20,canva,48_Canva_Admin_3_Year_2_Week_Warranty.png
49,Design & Creative,Canva Edu Pro 1 Year (Unlimited Stock),0.48,canva,49_Canva_Edu_Pro_1_Year_Unlimited_Stock.png
50,Design & Creative,CapCut Pro 6 Month (5-Day Warranty),11.84,capcut,50_CapCut_Pro_6_Month_5_Day_Warranty.png
51,Design & Creative,CapCut Pro Team Account (30 Days),2.40,capcut,51_CapCut_Pro_Team_Account_30_Days.png
52,Design & Creative,CapCut 6 Month Individual,13.20,capcut,52_CapCut_6_Month_Individual.png
53,Design & Creative,Figma Edu 2 Year (1-Week Warranty),5.60,figma,53_Figma_Edu_2_Year_1_Week_Warranty.png
54,Design & Creative,Figma EDU (Pro) 1-2 Year,6.00,figma,54_Figma_EDU_Pro_1_2_Year.png
55,Design & Creative,Framer Pro 12 Month,6.56,framer,55_Framer_Pro_12_Month.png
56,Design & Creative,Lovable Pro 12 Month,31.92,lovable,56_Lovable_Pro_12_Month.png
57,Design & Creative,Lovable Pro Lite 12 Month (Link Delivery),6.00,lovable,57_Lovable_Pro_Lite_12_Month_Link_Delivery.png
58,Design & Creative,Magic Patterns 12 Month,8.40,magicpatterns,58_Magic_Patterns_12_Month.png
59,Design & Creative,Magic Patterns Starter 12 Month,8.00,magicpatterns,59_Magic_Patterns_Starter_12_Month.png
60,Design & Creative,Runway Pro 12 Month,42.40,runway,60_Runway_Pro_12_Month.png
61,Design & Creative,Miro Premium 1-3 Year,0.40,miro,61_Miro_Premium_1_3_Year.png
62,Design & Creative,Gumloop Pro 12M (Design),7.60,gumroad,62_Gumloop_Pro_12M_Design.png
63,Streaming & Entertainment,"Netflix Premium 4K 1 Month (Shared, Full Warranty)",2.23,netflix,63_Netflix_Premium_4K_1_Month_Shared_Full_Warranty.png
64,Streaming & Entertainment,"Netflix Premium 4K 1 Month (Shared, Full Warranty) LINK",1.52,netflix,64_Netflix_Premium_4K_1_Month_Shared_Full_Warranty_LINK.png
65,Streaming & Entertainment,Netflix Admin 4K 1 Month (No Warranty),2.08,netflix,65_Netflix_Admin_4K_1_Month_No_Warranty.png
66,Streaming & Entertainment,Prime Video 6 Month (Ads-Free),2.00,primevideo,66_Prime_Video_6_Month_Ads_Free.png
67,Streaming & Entertainment,Spotify 3 Months (Pre-made Account),2.47,spotify,67_Spotify_3_Months_Pre_made_Account.png
68,Streaming & Entertainment,Spotify Premium 1 Year (Pre-made Account),14.80,spotify,68_Spotify_Premium_1_Year_Pre_made_Account.png
69,Streaming & Entertainment,Crunchyroll Premium 1 Month,0.72,crunchyroll,69_Crunchyroll_Premium_1_Month.png
70,Streaming & Entertainment,Youtube 3 Month Redeem Link (Firsthand Warranty),8.40,youtube,70_Youtube_3_Month_Redeem_Link_Firsthand_Warranty.png
71,Streaming & Entertainment,Youtube 3 Month Links,1.60,youtube,71_Youtube_3_Month_Links.png
72,VPN & Security,Nord VPN 3 Month Links,2.80,nordvpn,72_Nord_VPN_3_Month_Links.png
73,VPN & Security,HMA Android/PC Key (20-30 Days),0.39,hide-my-ass,73_HMA_Android_PC_Key_20_30_Days.png
74,VPN & Security,"HMA Android/PC Key (20-30 Days, Alt Listing)",0.72,hide-my-ass,74_HMA_Android_PC_Key_20_30_Days_Alt_Listing.png
75,VPN & Security,SurfShark 2 Month Account (Firsthand Warranty),2.36,surfshark,75_SurfShark_2_Month_Account_Firsthand_Warranty.png
76,VPN & Security,SurfShark VPN 2 Month Coupon,2.32,surfshark,76_SurfShark_VPN_2_Month_Coupon.png
77,VPN & Security,ExpressVPN Account (25-30 Days),0.80,expressvpn,77_ExpressVPN_Account_25_30_Days.png
78,Business & LinkedIn,LinkedIn Business 12 Month (Firsthand Warranty),43.20,linkedin,78_LinkedIn_Business_12_Month_Firsthand_Warranty.png
79,Business & LinkedIn,LinkedIn Business 2 Month New User (Firsthand Warranty),3.68,linkedin,79_LinkedIn_Business_2_Month_New_User_Firsthand_Warranty.png
80,Business & LinkedIn,LinkedIn Career 12 Month (Firsthand Warranty),28.72,linkedin,80_LinkedIn_Career_12_Month_Firsthand_Warranty.png
81,Business & LinkedIn,LinkedIn Career 2 Month New User (Firsthand Warranty),3.36,linkedin,81_LinkedIn_Career_2_Month_New_User_Firsthand_Warranty.png
82,Business & LinkedIn,LinkedIn Career 3 Month (New Accounts Only),1.04,linkedin,82_LinkedIn_Career_3_Month_New_Accounts_Only.png
83,Business & LinkedIn,LinkedIn Sales Navigator 2 Month New User,3.60,linkedin,83_LinkedIn_Sales_Navigator_2_Month_New_User.png
84,Business & LinkedIn,Microsoft 365 Family 10 Month,8.00,microsoft,84_Microsoft_365_Family_10_Month.png
85,Business & LinkedIn,Microsoft 365 1 Year Premium,1.80,microsoft,85_Microsoft_365_1_Year_Premium.png
86,Business & LinkedIn,I Love PDF 1 Year,1.60,ilovepdf,86_I_Love_PDF_1_Year.png
87,Business & LinkedIn,Outlook Mails,0.07,microsoftoutlook,87_Outlook_Mails.png
88,Business & LinkedIn,Fresh iCloud Mail,0.10,icloud,88_Fresh_iCloud_Mail.png
89,Business & LinkedIn,2FA Fresh Gmail,0.80,gmail,89_2FA_Fresh_Gmail.png
90,Business & LinkedIn,2FA Gmail 2023-2024,1.20,gmail,90_2FA_Gmail_2023_2024.png
